Year,0,1,2
1975,Complete Games,Baltimore,70
1975,Complete Games,New York,70
1975,ERA,Baltimore,3.17
1975,Fewest Hits Allowed,Oakland,1267
1975,Fewest Home Runs Allowed,Oakland,102
1975,Fewest Walks Allowed,Boston,490
1975,Saves,Oakland,44
1975,Shutouts,Baltimore,19
1975,Shutouts,California,19
1975,Strikeouts,California,975
1976,Complete Games,California,64
1976,ERA,New York,3.20
1976,Fewest Hits Allowed,New York,1300
1976,Fewest Home Runs Allowed,Baltimore,90
1976,Fewest Home Runs Allowed,Cleveland,90
1976,Fewest Walks Allowed,Boston,409
1976,Saves,Cleveland,46
1976,Shutouts,Cleveland,17
1976,Strikeouts,California,992
1977,Complete Games,Baltimore,65
1977,ERA,Kansas City,3.52
1977,Fewest Hits Allowed,Kansas City,1377
1977,Fewest Home Runs Allowed,Kansas City,110
1977,Fewest Walks Allowed,Boston,378
1977,Saves,Kansas City,42
1977,Shutouts,Texas,17
1977,Strikeouts,California,965
1978,Complete Games,Baltimore,65
1978,ERA,New York,3.18
1978,Fewest Hits Allowed,New York,1321
1978,Fewest Home Runs Allowed,Cleveland,100
1978,Fewest Walks Allowed,Milwaukee,398
1978,Saves,New York,36
1978,Shutouts,Milwaukee,19
1978,Strikeouts,California,892
1979,Complete Games,Milwaukee,61
1979,ERA,Baltimore,3.26
1979,Fewest Hits Allowed,Baltimore,1279
1979,Fewest Home Runs Allowed,Chicago,114
1979,Fewest Walks Allowed,Milwaukee,381
1979,Saves,Texas,42
1979,Shutouts,Baltimore,12
1979,Shutouts,Milwaukee,12
1979,Strikeouts,California,820
1980,Complete Games,Oakland,94
1980,ERA,Oakland,3.46
1980,Fewest Hits Allowed,Oakland,1347
1980,Fewest Home Runs Allowed,New York,102
1980,Fewest Walks Allowed,Milwaukee,420
1980,Saves,New York,50
1980,Shutouts,New York,15
1980,Strikeouts,Texas,890
1981,Complete Games,Oakland,60
1981,ERA,New York,2.90
1981,Fewest Hits Allowed,New York,827
1981,Fewest Home Runs Allowed,New York,64
1981,Fewest Walks Allowed,Kansas City,273
1981,Saves,Milwaukee,35
1981,Shutouts,Detroit,13
1981,Shutouts,New York,13
1981,Shutouts,Texas,13
1981,Strikeouts,New York,606
1982,Complete Games,Detroit,45
1982,ERA,Detroit,3.80
1982,Fewest Hits Allowed,Detroit,1371
1982,Fewest Home Runs Allowed,Chicago,99
1982,Fewest Walks Allowed,Chicago,460
1982,Saves,Milwaukee,47
1982,Shutouts,Toronto,13
1982,Strikeouts,Seattle,1002
1983,Complete Games,New York,47
1983,ERA,Texas,3.31
1983,Fewest Hits Allowed,Detroit,1318
1983,Fewest Home Runs Allowed,Texas,97
1983,Fewest Walks Allowed,Chicago,447
1983,Saves,Kansas City,49
1983,Shutouts,Baltimore,15
1983,Strikeouts,Seattle,910
1984,Complete Games,Baltimore,48
1984,ERA,Detroit,3.49
1984,Fewest Hits Allowed,Detroit,1358
1984,Fewest Home Runs Allowed,New York,120
1984,Fewest Walks Allowed,Kansas City,433
1984,Saves,Detroit,51
1984,Shutouts,Baltimore,13
1984,Strikeouts,New York,992
1985,Complete Games,Minnesota,41
1985,ERA,Toronto,3.31
1985,Fewest Hits Allowed,Toronto,1312
1985,Fewest Home Runs Allowed,Kansas City,103
1985,Fewest Walks Allowed,Minnesota,462
1985,Saves,New York,49
1985,Shutouts,Detroit,11
1985,Shutouts,Kansas City,11
1985,Strikeouts,Chicago,1023
1986,Complete Games,Minnesota,39
1986,ERA,Kansas City,3.82
1986,Fewest Hits Allowed,Oakland,1334
1986,Fewest Home Runs Allowed,Kansas City,121
1986,Fewest Walks Allowed,Boston,474
1986,Saves,New York,58
1986,Shutouts,Kansas City,13
1986,Strikeouts,Texas,1059
